0=正确|Correct
1=会话不正确|Invalid Session
2=合约找不到|Instrument Not Found
3=会员找不到|Participant Not Found
4=投资者找不到|Investor Not Found
5=报单系统号找不到|Order_sys ID Not Found
6=报单字段错误|Invalid Order Field
7=报价字段错误|Invalid Quote Field
8=报单操作字段错误|Invalid Order-action Field
9=报价操作字段错误|Invalid Quote-action Field
10=OTC报单字段错误|Invalid OTC-order Field
11=合约状态字段错误|Invalid Instrument-status Field
12=重复的报单|Duplicate Order
13=重复的报价|Duplicate Quote
14=重复的OTC报单|Duplicate OTC-order
15=客户没有在该会员开户|Client is not Related to Participant
16=IOC需在连续交易阶段|IOC-order can Only be Applied in Continous Trading
17=GFA需在集合竞价阶段|GFA-oder can Only be Applied in Auction Trading
18=市价单不能排队|Market-order can't Queue
19=数量约束应在IOC单上|Volume Constrain can Only Apply to IOC-order
20=GTD报单过期了|GTD-order Expired
21=最小数量大于报单数量|MinVolumn of the Order Exceed Volumn
22=交易所数据没有同步|Exchange-date is Not Sync
23=结算组数据没有同步|Settlementgroup is Not Sync
24=报单找不到|Order Not Found
25=报价找不到|Quote Not Found
26=当前合约状态禁止此项操作|Invalid Instrument Status
27=不合法的合约状态迁移|Invalid Instrument Status Shift
28=报单已经全部成交|Order Had All Traded
29=报单已经撤销|Order Had Canceled
30=没有足够的数量供修改|No Enough Volume to Modify
31=平仓时客户持仓不足|No Enough ClientPosition to Close
32=超出客户限仓|Client Position Exceed Limit
33=平仓时会员持仓不足|No Enough Participant Position to Close
34=超出会员限仓|Participant Position Exceed Limit
35=找不到帐号|Account Not Found
36=资金不足|Insufficient Money
37=不合法的数量|Invalid Volume
38=数据同步状态不正确|Insuitable Datasync Status
39=交易所同步状态错误|Exchange Datasync Status Change Invalid
40=结算组同步时禁止操作|Insuitable Settlementgroup Datasync-status
41=结算组同步状态错误|Settlementgroup Datasync Status Change Invalid
42=有结算组处于同步状态|Not All Settlementgroup Asynchronous
43=有合约处于非收盘状态|Not All Instrument Closed
44=数据初始化状态不对|Invalid Datasync Status While Initing
45=结算组初始化状态不对|Invalid Settlementgroup Datasync Status While Initing
46=交易所数据未初始化|Exchange-data is Not Synchronized
47=结算组找不到|Settlementgroup Not Found
48=价格非最小单位的倍数|Price Not on Tick
49=价格超出涨停板|Price out of Upper Bound
50=价格跌破跌停板|Price out of Lower Bound
51=没有交易权限|No Trading Right
52=只能平仓|Close Only
53=没有此项交易角色|Invalid Trading Role
54=会话找不到|Session Not Found
55=还没有登录|Not Login Yet
56=仅管理员可以做此操作|Only Trade Manager Can DO This
57=不能为其他会员操作|Can Not Operate For Other Participant
58=用户不匹配|User Mismatch
59=用户重复登录|User Relogin
60=用户名或口令错误|Invalid User Or Password
61=非交易用户的登录|Not Trader Login
62=用户不活跃|User Not Active
