学号,1,2,3,4,5,6,7,8,9,avg
201721000000,10,63,0,13,0,45,0,20,0,16.78
201721000002,75,0,84,91,85,93,73,72,92,73.89
201821000001,69,0,78,56,80,87,80,55,77,64.67
201821000002,75,0,75,76,90,106,85,73,90,74.44
201821000003,85,0,89,87,85,102,83,62,95,76.44
201821000004,88,0,94,85,93,101,90,76,95,80.22
201821000005,65,0,70,80,80,87,75,72,95,69.33
201821000006,70,0,75,0,68,98,57,47,77,54.67
201821000007,89,0,93,87,95,101,88,74,90,79.67
201821000008,85,0,80,64,80,104,73,52,78,68.44
201821000009,85,0,86,80,92,108,72,80,92,77.22
201821000010,78,0,81,83,82,89,77,92,95,75.22
201821000011,85,92,86,41,70,95,80,72,65,76.22
201821000012,56,0,78,83,92,95,87,89,95,75.0
201821000013,78,0,82,75,95,115,67,75,90,75.22
201821000014,90,0,77,89,89,105,85,73,88,77.33
201821000015,65,84,71,9,50,0,30,5,0,34.89
201821000016,55,0,75,89,91,115,82,89,80,75.11
201821000017,90,0,64,89,90,108,85,75,95,77.33
201821000018,59,87,68,65,87,94,73,90,60,75.89
201821000019,71,84,60,0,62,0,61,45,60,49.22
201821000020,71,84,60,18,65,0,36,50,65,49.89
201821000021,45,0,62,40,49,69,66,83,50,51.56
201821000022,85,76,83,88,92,115,98,90,91,90.89
201821000023,69,0,77,90,78,118,73,87,88,75.56
201821000024,15,0,40,27,60,95,45,50,55,43.0
201821000025,0,87,74,62,67,85,68,81,65,65.44
201821000026,70,79,70,10,0,0,25,25,55,37.11
201821000027,47,0,69,58,70,100,57,65,79,60.56
201821000028,80,0,54,81,88,90,82,73,80,69.78
201821000029,68,0,47,86,84,88,78,80,75,67.33
201821000030,82,0,74,58,73,82,90,65,60,64.89
201821000031,82,0,84,84,98,100,87,70,98,78.11
201821000032,79,0,88,73,98,117,87,73,95,78.89
201821000033,77,0,77,57,92,91,78,70,80,69.11
201821000034,45,0,64,61,58,0,77,84,76,51.67
201821000035,75,0,77,51,66,96,54,75,66,62.22
201821000036,61,0,59,53,85,97,57,46,0,50.89
201821000037,85,0,87,72,70,110,74,74,0,63.56
201821000038,61,0,76,65,78,110,74,60,84,67.56
201821000039,75,0,84,61,72,108,82,70,95,71.89
201821000040,88,0,87,80,87,112,80,48,70,72.44
201821000041,55,0,0,48,68,105,85,75,75,56.78
201821000042,87,0,85,84,95,110,80,56,75,74.67
201821000043,85,0,80,82,85,89,92,0,95,67.56
201821000044,82,0,82,74,94,116,70,80,85,75.89
201821000045,25,0,25,24,30,98,0,39,45,31.78
201821000046,75,0,67,66,73,110,87,42,71,65.67
201821000047,62,0,75,65,92,110,73,65,87,69.89
201821000048,65,0,55,47,72,77,55,0,65,48.44
201821000049,55,0,40,43,76,93,43,57,71,53.11
201821000050,80,0,73,74,90,95,70,68,95,71.67
201821000051,50,0,41,43,53,72,47,50,40,44.0
201821000052,61,0,84,72,78,118,71,69,0,61.44
201821000053,55,0,42,17,57,94,51,70,65,50.11
201821000054,72,0,72,70,93,0,91,65,70,59.22
201821000055,60,0,62,60,70,95,69,68,75,62.11
201821000056,77,0,92,75,90,105,72,73,88,74.67
201821000057,30,74,65,58,68,95,57,44,74,62.78
201821000058,70,82,65,51,68,97,70,51,65,68.78
